epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
29,0.765582,0.762801,0.073251,0.042708,0.00008205,0.004453,0.002231,0.002235,0.576192,0.288551,0.168600,0.260295,0.323690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.762603,0.762072,0.075716,0.044403,0.00008084,0.004416,0.002213,0.002216,0.572393,0.298448,0.175398,0.281703,0.317309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,0.760906,0.760291,0.073783,0.043070,0.00007960,0.004491,0.002251,0.002255,0.568383,0.290642,0.170030,0.280757,0.301249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0.760036,0.757951,0.058099,0.032714,0.00007832,0.004507,0.002259,0.002263,0.529970,0.227889,0.128598,0.263878,0.200539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0.757520,0.757045,0.058549,0.033007,0.00007702,0.004318,0.002164,0.002168,0.530182,0.229877,0.129865,0.261009,0.205379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0.756492,0.755521,0.061780,0.035087,0.00007570,0.004253,0.002131,0.002135,0.538202,0.242868,0.138218,0.251756,0.234586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0.754579,0.753690,0.044166,0.024121,0.00007435,0.004111,0.002060,0.002064,0.511397,0.172554,0.094424,0.208930,0.146967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,0.753035,0.750017,0.068723,0.039638,0.00007297,0.004717,0.002364,0.002369,0.537569,0.270175,0.156186,0.308523,0.240306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,0.750217,0.751968,0.079439,0.046985,0.00007158,0.004662,0.002337,0.002341,0.573660,0.313096,0.185604,0.304980,0.321654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,0.749247,0.750292,0.074611,0.043613,0.00007016,0.005033,0.002523,0.002528,0.560574,0.293412,0.171929,0.320639,0.270447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,0.747509,0.747673,0.088256,0.053274,0.00006872,0.005352,0.002683,0.002688,0.583791,0.347672,0.210413,0.340047,0.355646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.746469,0.747779,0.079677,0.046888,0.00006727,0.005241,0.002627,0.002633,0.553609,0.308757,0.182562,0.367383,0.266267,0.000000,0.000000,0.000000,0.000000,0.004710,0.002361,0.006452,0.003709
41,0.744692,0.746552,0.077679,0.045727,0.00006580,0.005181,0.002597,0.002603,0.561207,0.305533,0.180312,0.345846,0.273637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,0.742882,0.745499,0.096251,0.058581,0.00006431,0.005207,0.002610,0.002615,0.589911,0.369175,0.226373,0.414277,0.332930,0.000000,0.000000,0.000000,0.000000,0.010620,0.005338,0.014413,0.008408
43,0.741464,0.741268,0.100353,0.061791,0.00006281,0.007977,0.004004,0.004018,0.546011,0.387021,0.239941,0.386659,0.387382,0.000000,0.000000,0.000000,0.000000,0.006414,0.003218,0.009124,0.004946
44,0.739482,0.740087,0.095470,0.058329,0.00006130,0.007574,0.003801,0.003816,0.502111,0.371443,0.228081,0.444922,0.318794,0.000000,0.000000,0.000000,0.000000,0.002865,0.001434,0.004020,0.002226
45,0.738469,0.739043,0.098900,0.061144,0.00005978,0.007357,0.003692,0.003708,0.471085,0.388244,0.240882,0.432783,0.352016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,0.737239,0.736880,0.101804,0.062974,0.00005824,0.007632,0.003831,0.003847,0.468974,0.393759,0.245143,0.451519,0.349101,0.000000,0.000000,0.000000,0.000000,0.005826,0.002922,0.008431,0.004451
47,0.736161,0.736394,0.102405,0.062456,0.00005670,0.007222,0.003624,0.003639,0.474884,0.381209,0.235490,0.436918,0.338100,0.000000,0.000000,0.000000,0.000000,0.021190,0.010708,0.031086,0.016073
48,0.734783,0.733943,0.100036,0.061594,0.00005516,0.007447,0.003737,0.003756,0.426551,0.386457,0.239508,0.470876,0.327705,0.000000,0.000000,0.000000,0.000000,0.006240,0.003130,0.009286,0.004698
49,0.732737,0.734224,0.108169,0.066921,0.00005361,0.008028,0.004030,0.004049,0.461587,0.404334,0.253395,0.433701,0.378692,0.000000,0.000000,0.000000,0.000000,0.020313,0.010261,0.031091,0.015084
50,0.733219,0.730587,0.101542,0.061008,0.00005205,0.007400,0.003714,0.003733,0.410300,0.364582,0.222929,0.493428,0.289093,0.000000,0.000000,0.000000,0.000000,0.034185,0.017390,0.051968,0.025470
51,0.731199,0.731689,0.110697,0.068422,0.00005050,0.008216,0.004125,0.004145,0.460954,0.407328,0.255752,0.422559,0.393158,0.000000,0.000000,0.000000,0.000000,0.027244,0.013810,0.040508,0.020524
52,0.730828,0.730177,0.112912,0.070089,0.00004895,0.008205,0.004119,0.004140,0.454833,0.414925,0.261770,0.413925,0.415929,0.000000,0.000000,0.000000,0.000000,0.028520,0.014466,0.042295,0.021513
53,0.728502,0.730712,0.109603,0.067528,0.00004739,0.007599,0.003814,0.003835,0.416209,0.402424,0.251897,0.475484,0.348826,0.000000,0.000000,0.000000,0.000000,0.028390,0.014399,0.041727,0.021513
54,0.727903,0.728189,0.107037,0.066336,0.00004584,0.007572,0.003800,0.003821,0.407767,0.404199,0.253289,0.477375,0.350476,0.000000,0.000000,0.000000,0.000000,0.016377,0.008256,0.025258,0.012117
55,0.727009,0.727766,0.109300,0.067016,0.00004430,0.007531,0.003780,0.003801,0.404390,0.397070,0.247715,0.492905,0.332435,0.000000,0.000000,0.000000,0.000000,0.032600,0.016570,0.047824,0.024728
56,0.726171,0.727248,0.113290,0.070158,0.00004276,0.007908,0.003970,0.003991,0.423174,0.413126,0.260339,0.477759,0.363896,0.000000,0.000000,0.000000,0.000000,0.032126,0.016325,0.047642,0.024233
