epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.994406,0.991630,0.005736,0.002880,0.00010000,0.000894,0.000447,0.000447,0.999958,0.007628,0.003829,0.003829,1.000000,0.011186,0.005625,0.005625,0.980662,0.003236,0.001620,0.001620,0.979555
2,0.993486,0.990741,0.006315,0.003173,0.00002008,0.000894,0.000447,0.000447,1.000000,0.007628,0.003829,0.003829,1.000000,0.013327,0.006708,0.006709,0.988266,0.003410,0.001708,0.001708,0.985642
3,0.993340,0.989594,0.007081,0.003561,0.00004006,0.000895,0.000448,0.000448,1.000000,0.007630,0.003830,0.003830,0.999993,0.015752,0.007939,0.007940,0.974136,0.004047,0.002028,0.002028,0.948671
4,0.993273,0.992516,0.006020,0.003024,0.00006004,0.000894,0.000447,0.000447,1.000000,0.007628,0.003829,0.003829,1.000000,0.012070,0.006072,0.006072,0.988744,0.003489,0.001748,0.001748,0.991385
5,0.992646,0.989597,0.011134,0.005631,0.00008002,0.000895,0.000448,0.000448,0.999958,0.007637,0.003833,0.003833,0.999941,0.030441,0.015455,0.015460,0.980517,0.005562,0.002789,0.002789,0.944824
6,0.991576,0.986752,0.063367,0.035835,0.00010000,0.000895,0.000447,0.000447,1.000000,0.007667,0.003848,0.003848,0.999789,0.241525,0.137349,0.149273,0.632278,0.003381,0.001693,0.001697,0.431585
7,0.991900,0.984580,0.065213,0.036801,0.00009998,0.000896,0.000448,0.000448,0.999789,0.008682,0.004360,0.004360,0.999101,0.242552,0.138014,0.143542,0.781818,0.008724,0.004381,0.004391,0.651586
8,0.990867,0.983929,0.052003,0.027601,0.00009993,0.000884,0.000442,0.000442,0.975875,0.011554,0.005811,0.005812,0.958057,0.145730,0.078592,0.079687,0.851203,0.049844,0.025559,0.025660,0.867017
9,0.989908,0.979629,0.092013,0.051482,0.00009985,0.000898,0.000449,0.000449,0.999242,0.009119,0.004580,0.004581,0.991659,0.259360,0.149003,0.153574,0.833493,0.098673,0.051897,0.052395,0.845181
10,0.987351,0.978986,0.047501,0.025264,0.00009973,0.000892,0.000446,0.000446,0.980927,0.007596,0.003812,0.003813,0.969524,0.145496,0.078456,0.079038,0.914073,0.036022,0.018341,0.018524,0.650665
11,0.986935,0.968247,0.076124,0.042219,0.00009957,0.000897,0.000449,0.000449,0.997726,0.007671,0.003850,0.003850,0.996761,0.235086,0.133200,0.139849,0.736947,0.060842,0.031376,0.032222,0.544231
12,0.983172,0.977939,0.044934,0.023642,0.00009939,0.000890,0.000445,0.000445,0.971749,0.007428,0.003728,0.003729,0.942195,0.124307,0.066273,0.067096,0.843790,0.047109,0.024123,0.024190,0.896149
13,0.979993,0.951996,0.171112,0.108625,0.00009916,0.000901,0.000451,0.000451,0.999411,0.007647,0.003838,0.003838,0.997832,0.501541,0.334704,0.443945,0.576308,0.174361,0.095507,0.109351,0.429996
14,0.974503,0.949971,0.188313,0.109940,0.00009891,0.245447,0.139892,0.213695,0.288283,0.026500,0.013428,0.013798,0.333719,0.372642,0.228986,0.253931,0.699786,0.108663,0.057453,0.060852,0.507062
15,0.962221,0.846138,0.184953,0.110912,0.00009862,0.130113,0.069584,0.072374,0.643468,0.007337,0.003682,0.003685,0.804093,0.439909,0.281976,0.335411,0.638986,0.162452,0.088407,0.094577,0.575387
16,0.931973,0.779011,0.238872,0.147220,0.00009830,0.287147,0.167643,0.232720,0.374805,0.024920,0.012617,0.013055,0.273263,0.493521,0.327599,0.418803,0.600688,0.149900,0.081023,0.091511,0.414156
17,0.920254,0.747406,0.224049,0.141098,0.00009794,0.270817,0.156616,0.202979,0.406762,0.015651,0.007887,0.008086,0.242629,0.524248,0.355242,0.524508,0.523989,0.085481,0.044649,0.056715,0.173458
18,0.905779,0.744965,0.199785,0.118255,0.00009756,0.271277,0.156923,0.206112,0.396699,0.013243,0.006666,0.006859,0.191307,0.393626,0.245040,0.270560,0.722060,0.120992,0.064392,0.067758,0.564496
19,0.889602,0.724878,0.241923,0.150436,0.00009713,0.252239,0.144321,0.164988,0.535346,0.008124,0.004078,0.004082,0.829869,0.515502,0.347257,0.466439,0.576100,0.191828,0.106089,0.121585,0.454270
20,0.884527,0.711725,0.215611,0.130755,0.00009668,0.312243,0.185004,0.261320,0.387815,0.005972,0.002995,0.003018,0.279456,0.432237,0.275703,0.685187,0.315693,0.111991,0.059317,0.094552,0.137318
21,0.882881,0.679679,0.244816,0.150788,0.00009620,0.330480,0.197949,0.282842,0.397415,0.007128,0.003577,0.003592,0.454518,0.472131,0.309012,0.371359,0.647960,0.169524,0.092612,0.100167,0.551149
22,0.873372,0.676058,0.240414,0.147584,0.00009568,0.331916,0.198980,0.348206,0.317081,0.006850,0.003437,0.003455,0.386977,0.462183,0.300545,0.356628,0.656493,0.160706,0.087373,0.094190,0.546959
23,0.879064,0.698352,0.243451,0.153487,0.00009513,0.301472,0.177490,0.379513,0.250053,0.011015,0.005538,0.005552,0.686155,0.530289,0.360812,0.510754,0.551377,0.131030,0.070108,0.085040,0.285345
24,0.873232,0.689267,0.228319,0.138389,0.00009456,0.301369,0.177419,0.221410,0.471728,0.007911,0.003971,0.003995,0.395648,0.443425,0.284872,0.322549,0.709201,0.160570,0.087294,0.091875,0.636451
25,0.873500,0.702083,0.254661,0.158362,0.00009395,0.288630,0.168654,0.205073,0.487095,0.007930,0.003981,0.003982,0.918791,0.509673,0.341988,0.609024,0.438191,0.212412,0.118826,0.153311,0.345669
26,0.869906,0.673375,0.261396,0.165152,0.00009331,0.320093,0.190542,0.251357,0.440571,0.010012,0.005031,0.005037,0.815923,0.536995,0.367049,0.555962,0.519279,0.178482,0.097986,0.120211,0.346391
27,0.863170,0.638664,0.276878,0.174575,0.00009264,0.355542,0.216206,0.316237,0.406004,0.012216,0.006145,0.006160,0.723214,0.524044,0.355054,0.497792,0.553219,0.215709,0.120893,0.139003,0.481307
28,0.871211,0.680899,0.261821,0.164679,0.00009194,0.302628,0.178292,0.217630,0.496569,0.007804,0.003917,0.003919,0.885658,0.531986,0.362385,0.472181,0.609138,0.204866,0.114123,0.127955,0.513546
29,0.865298,0.662426,0.270267,0.170650,0.00009122,0.336815,0.202512,0.309148,0.369921,0.009728,0.004888,0.004889,0.933424,0.532418,0.362786,0.486100,0.588493,0.202108,0.112414,0.128033,0.479573
30,0.865954,0.663226,0.265527,0.167512,0.00009046,0.333054,0.199799,0.298842,0.376110,0.007945,0.003988,0.003989,0.940965,0.530218,0.360746,0.487729,0.580815,0.190890,0.105516,0.121400,0.446431
31,0.868174,0.673099,0.264863,0.167525,0.00008968,0.318447,0.189377,0.236083,0.489074,0.007794,0.003912,0.003913,0.985188,0.540038,0.369899,0.576382,0.508007,0.193170,0.106911,0.132125,0.359070
32,0.866680,0.647976,0.275532,0.174301,0.00008887,0.344252,0.207914,0.313688,0.381416,0.007894,0.003963,0.003964,0.938751,0.534022,0.364277,0.495719,0.578740,0.215961,0.121052,0.138432,0.490879
33,0.863586,0.638902,0.264882,0.169283,0.00008803,0.348164,0.210774,0.392765,0.312661,0.007900,0.003966,0.003966,0.991196,0.549927,0.379241,0.566892,0.533948,0.153534,0.083150,0.104156,0.291938
34,0.856119,0.645721,0.255151,0.160442,0.00008717,0.340183,0.204952,0.286219,0.419224,0.007648,0.003838,0.003839,0.994468,0.516667,0.348315,0.637903,0.434155,0.156104,0.084660,0.116661,0.235840
