epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.613939,0.608815,0.005161,0.002590,0.00030000,0.001066,0.000533,0.000533,1.000000,0.007644,0.003837,0.003837,1.000000,0.009140,0.004591,0.004591,1.000000,0.002794,0.001399,0.001399,1.000000
2,0.608402,0.607431,0.005161,0.002590,0.00006080,0.001066,0.000533,0.000533,1.000000,0.007644,0.003837,0.003837,1.000000,0.009140,0.004591,0.004591,1.000000,0.002794,0.001399,0.001399,1.000000
3,0.606580,0.604878,0.005162,0.002590,0.00012060,0.001066,0.000533,0.000533,1.000000,0.007647,0.003838,0.003838,1.000000,0.009141,0.004591,0.004591,1.000000,0.002794,0.001399,0.001399,1.000000
4,0.603975,0.601975,0.005163,0.002591,0.00018040,0.001066,0.000533,0.000533,1.000000,0.007653,0.003841,0.003841,0.999273,0.009138,0.004590,0.004590,1.000000,0.002794,0.001399,0.001399,1.000000
5,0.601350,0.600663,0.006566,0.003296,0.00024020,0.001068,0.000534,0.000534,0.983232,0.007700,0.003865,0.003865,0.996008,0.009138,0.004590,0.004590,1.000000,0.008358,0.004197,0.004197,0.971304
6,0.599205,0.596580,0.027461,0.014075,0.00030000,0.001066,0.000533,0.000533,0.999252,0.007682,0.003856,0.003856,1.000000,0.060220,0.031045,0.031432,0.715751,0.040877,0.020865,0.021214,0.558816
7,0.596542,0.592225,0.078578,0.042882,0.00029918,0.001067,0.000534,0.000534,0.999893,0.007684,0.003857,0.003857,1.000000,0.204847,0.114111,0.117343,0.805560,0.100712,0.053026,0.053448,0.870563
8,0.592892,0.585960,0.109817,0.062758,0.00029673,0.001068,0.000534,0.000534,0.999466,0.009535,0.004790,0.004791,0.971254,0.303897,0.179173,0.191660,0.733341,0.124770,0.066536,0.067552,0.815573
9,0.587031,0.577102,0.155747,0.094571,0.00029268,0.001067,0.000534,0.000534,0.999893,0.011545,0.005806,0.005807,0.983468,0.424725,0.269619,0.313144,0.659844,0.185652,0.102324,0.106557,0.720368
10,0.578559,0.567029,0.156709,0.095102,0.00028708,0.001073,0.000537,0.000537,0.999573,0.016797,0.008470,0.008480,0.872151,0.426284,0.270877,0.319952,0.638471,0.182682,0.100523,0.105419,0.683979
11,0.567873,0.555131,0.178692,0.111822,0.00027997,0.001069,0.000535,0.000535,0.999893,0.011547,0.005807,0.005808,0.974400,0.480859,0.316534,0.417516,0.566860,0.221291,0.124411,0.136170,0.590280
12,0.557777,0.547917,0.185728,0.115912,0.00027145,0.001081,0.000541,0.000541,0.999466,0.013493,0.006793,0.006795,0.942538,0.474014,0.310628,0.440728,0.512739,0.254323,0.145687,0.161504,0.598014
13,0.549720,0.549196,0.166101,0.101169,0.00026160,0.001210,0.000605,0.000605,0.990815,0.016028,0.008079,0.008092,0.831933,0.431613,0.275196,0.339883,0.591161,0.215552,0.120795,0.128607,0.665378
