epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
29,0.597155,0.597424,0.063701,0.033633,0.00003940,0.004540,0.002275,0.002275,0.999367,0.108365,0.057287,0.057703,0.888180,0.020634,0.010425,0.010425,0.999438,0.121266,0.064547,0.066803,0.656528
30,0.597085,0.597404,0.060832,0.032009,0.00002955,0.004540,0.002275,0.002275,0.998945,0.107872,0.057011,0.057380,0.898630,0.021364,0.010797,0.010797,0.999157,0.109553,0.057951,0.059833,0.648121
31,0.596944,0.597423,0.061928,0.032628,0.00002103,0.004539,0.002275,0.002275,0.998734,0.105511,0.055693,0.056026,0.903801,0.021186,0.010706,0.010706,0.999326,0.116475,0.061839,0.064166,0.630317
32,0.597186,0.597283,0.064023,0.033775,0.00001392,0.004539,0.002275,0.002275,0.999156,0.109800,0.058089,0.058500,0.892195,0.023422,0.011850,0.011850,0.997696,0.118330,0.062886,0.065407,0.619931
33,0.596583,0.597358,0.065127,0.034429,0.00000832,0.004539,0.002275,0.002275,0.999578,0.108486,0.057354,0.057745,0.894395,0.021604,0.010920,0.010920,0.998932,0.125879,0.067167,0.070058,0.619436
34,0.596853,0.597393,0.064449,0.034049,0.00000427,0.004539,0.002275,0.002275,0.999156,0.111319,0.058940,0.059382,0.887850,0.020841,0.010530,0.010530,0.999269,0.121098,0.064452,0.067173,0.613996
35,0.596564,0.597460,0.067952,0.036058,0.00000182,0.004535,0.002273,0.002273,0.999578,0.106627,0.056316,0.056683,0.896760,0.021460,0.010846,0.010846,0.998988,0.139184,0.074798,0.078558,0.609792
36,0.596865,0.596607,0.077514,0.041221,0.00030000,0.004537,0.002274,0.002274,0.999578,0.100080,0.052676,0.053473,0.779495,0.049575,0.025418,0.025429,0.982241,0.155864,0.084519,0.093420,0.470079
37,0.596248,0.596353,0.119804,0.067080,0.00029980,0.004526,0.002268,0.002268,0.999789,0.071655,0.037159,0.037813,0.682416,0.118090,0.062750,0.062935,0.955266,0.284944,0.166143,0.186704,0.601385
38,0.594704,0.595607,0.102240,0.055073,0.00029918,0.004542,0.002276,0.002276,0.999156,0.085901,0.044878,0.045015,0.936472,0.171841,0.093997,0.094662,0.930482,0.146677,0.079143,0.081877,0.703264
39,0.594364,0.595914,0.107837,0.058657,0.00029816,0.004546,0.002278,0.002278,0.998312,0.069428,0.035962,0.036037,0.945438,0.194674,0.107833,0.108656,0.934360,0.162701,0.088554,0.093980,0.605341
40,0.594031,0.594304,0.161817,0.091091,0.00029673,0.004530,0.002270,0.002270,0.999789,0.149572,0.080831,0.084077,0.676750,0.246719,0.140719,0.143206,0.890132,0.246449,0.140543,0.156368,0.581355
41,0.593333,0.594883,0.086759,0.046119,0.00029491,0.004554,0.002282,0.002282,0.991347,0.079601,0.041450,0.041621,0.910016,0.141210,0.075969,0.076179,0.964988,0.121670,0.064775,0.066150,0.757171
42,0.592495,0.592805,0.155455,0.088073,0.00029268,0.004539,0.002275,0.002275,0.999578,0.102962,0.054275,0.054492,0.931577,0.286205,0.167001,0.170179,0.899404,0.228115,0.128742,0.145603,0.526459
43,0.591600,0.591995,0.110367,0.060115,0.00029007,0.004556,0.002283,0.002283,0.987547,0.089396,0.046789,0.047066,0.888400,0.214582,0.120186,0.121086,0.941778,0.132936,0.071200,0.073501,0.694609
44,0.590201,0.591906,0.222384,0.132210,0.00028708,0.004529,0.002270,0.002270,0.999578,0.195170,0.108137,0.111466,0.783620,0.387930,0.240641,0.253987,0.820782,0.301908,0.177792,0.222470,0.469585
