epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.773416,0.790261,0.011083,0.005610,0.00010000,0.000889,0.000445,0.000445,1.000000,0.007668,0.003849,0.003849,0.993040,0.031683,0.016097,0.016236,0.653025,0.004090,0.002049,0.002051,0.662895
2,0.762296,0.790143,0.033704,0.017841,0.00002008,0.000889,0.000445,0.000445,1.000000,0.007668,0.003849,0.003849,0.995963,0.121557,0.064712,0.067498,0.610536,0.004703,0.002357,0.002358,0.890589
3,0.759057,0.784142,0.052352,0.028812,0.00004006,0.000890,0.000445,0.000445,1.000000,0.008798,0.004418,0.004419,0.971744,0.194863,0.107949,0.118147,0.555673,0.004856,0.002434,0.002436,0.704453
4,0.753122,0.780486,0.069570,0.038295,0.00006004,0.000891,0.000446,0.000446,0.999619,0.008931,0.004485,0.004486,0.974608,0.218319,0.122535,0.132170,0.626993,0.050137,0.025713,0.025931,0.754070
