epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
29,0.970137,0.966015,0.040888,0.021701,0.00004069,0.006692,0.003357,0.003359,0.871919,0.015540,0.007831,0.007833,0.970974,0.135815,0.072855,0.077865,0.531004,0.005506,0.002760,0.002804,0.151681
30,0.978869,0.967354,0.041450,0.022020,0.00003763,0.006718,0.003370,0.003372,0.875670,0.015541,0.007831,0.007833,0.975719,0.137806,0.074002,0.079683,0.509291,0.005737,0.002877,0.002907,0.215126
31,0.974675,0.963774,0.042449,0.022600,0.00003461,0.006636,0.003329,0.003331,0.830654,0.015074,0.007594,0.007595,0.990232,0.141978,0.076414,0.079922,0.635124,0.006108,0.003063,0.003110,0.170168
32,0.969152,0.962348,0.046927,0.025242,0.00003166,0.006583,0.003302,0.003304,0.840300,0.014638,0.007373,0.007373,0.995255,0.160916,0.087498,0.092604,0.613411,0.005572,0.002794,0.002843,0.139496
33,0.975398,0.962947,0.052201,0.028384,0.00002878,0.006714,0.003368,0.003370,0.883708,0.014458,0.007282,0.007282,0.996930,0.181535,0.099829,0.109809,0.523430,0.006096,0.003057,0.003121,0.130672
34,0.973319,0.965726,0.042236,0.022580,0.00002599,0.006753,0.003388,0.003389,0.903537,0.014185,0.007143,0.007143,0.998325,0.146449,0.079010,0.093843,0.333266,0.001559,0.000780,0.000802,0.027731
35,0.973033,0.964587,0.038029,0.020086,0.00002329,0.006805,0.003414,0.003416,0.874062,0.014146,0.007124,0.007124,0.998605,0.125721,0.067077,0.073240,0.443547,0.005442,0.002728,0.002782,0.123950
36,0.977419,0.963679,0.037343,0.019695,0.00002069,0.006770,0.003396,0.003398,0.860665,0.014522,0.007314,0.007314,0.995534,0.122908,0.065478,0.070172,0.494648,0.005171,0.002592,0.002639,0.128571
37,0.974967,0.963928,0.040624,0.021560,0.00001821,0.006777,0.003400,0.003401,0.889068,0.014543,0.007325,0.007325,0.988836,0.135446,0.072642,0.080885,0.416179,0.005731,0.002874,0.002940,0.113025
38,0.967236,0.964166,0.039582,0.020948,0.00001586,0.006777,0.003400,0.003401,0.885316,0.014635,0.007371,0.007372,0.987162,0.130429,0.069764,0.077194,0.420218,0.006490,0.003256,0.003332,0.123950
39,0.974420,0.965301,0.039725,0.021039,0.00001364,0.006743,0.003383,0.003384,0.889603,0.014489,0.007297,0.007298,0.983812,0.131573,0.070419,0.079432,0.382953,0.006093,0.003056,0.003125,0.121429
40,0.973326,0.965291,0.039850,0.021102,0.00001156,0.006759,0.003391,0.003392,0.892819,0.014183,0.007142,0.007142,0.998605,0.131564,0.070414,0.080544,0.358917,0.006896,0.003460,0.003545,0.126471
41,0.963914,0.965959,0.040301,0.021359,0.00000964,0.006774,0.003399,0.003400,0.893355,0.014280,0.007191,0.007192,0.994139,0.133308,0.071414,0.081767,0.360634,0.006842,0.003433,0.003513,0.130252
42,0.966916,0.965447,0.042204,0.022439,0.00000788,0.006823,0.003423,0.003425,0.905681,0.014242,0.007172,0.007173,0.989115,0.140036,0.075289,0.087363,0.352656,0.007716,0.003873,0.003988,0.118487
43,0.962905,0.966214,0.039431,0.020846,0.00000628,0.006749,0.003386,0.003387,0.890675,0.014497,0.007301,0.007302,0.980184,0.128933,0.068909,0.078014,0.371238,0.007547,0.003788,0.003890,0.126050
