epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
29,0.597844,0.597821,0.057253,0.030051,0.00003940,0.004540,0.002275,0.002275,0.998523,0.104633,0.055205,0.055603,0.885265,0.018142,0.009154,0.009154,0.998539,0.101696,0.053572,0.054962,0.679278
30,0.597299,0.597757,0.059267,0.031166,0.00002955,0.004535,0.002273,0.002273,0.999156,0.103857,0.054773,0.055150,0.888895,0.018903,0.009542,0.009542,0.997190,0.109774,0.058075,0.059848,0.662216
31,0.597350,0.597764,0.059922,0.031528,0.00002103,0.004532,0.002271,0.002271,0.999367,0.103779,0.054729,0.055103,0.889830,0.019273,0.009730,0.009730,0.996010,0.112106,0.059381,0.061584,0.624135
32,0.597305,0.597628,0.061157,0.032203,0.00001392,0.004533,0.002272,0.002272,0.999156,0.106333,0.056152,0.056560,0.886200,0.020486,0.010349,0.010350,0.993818,0.113277,0.060039,0.062110,0.642928
33,0.597506,0.597804,0.057143,0.029988,0.00000832,0.004534,0.002272,0.002272,0.999156,0.093112,0.048829,0.049073,0.907871,0.019429,0.009810,0.009810,0.996740,0.111496,0.059039,0.061018,0.645401
34,0.597314,0.597852,0.057460,0.030166,0.00000427,0.004538,0.002274,0.002274,0.999156,0.096700,0.050807,0.051086,0.902976,0.018716,0.009446,0.009447,0.996909,0.109884,0.058136,0.059937,0.659248
35,0.597792,0.597888,0.057959,0.030447,0.00000182,0.004534,0.002272,0.002272,0.999156,0.095890,0.050359,0.050625,0.905561,0.018804,0.009491,0.009491,0.996628,0.112609,0.059664,0.061639,0.650593
36,0.597141,0.597016,0.061905,0.032542,0.00030000,0.004539,0.002275,0.002275,0.998100,0.106004,0.055968,0.056294,0.906441,0.027124,0.013749,0.013750,0.990278,0.109954,0.058175,0.059390,0.739862
37,0.596928,0.596615,0.067317,0.035678,0.00029980,0.004530,0.002270,0.002270,0.999578,0.136436,0.073212,0.078655,0.514108,0.022580,0.011419,0.011421,0.989435,0.105722,0.055811,0.060012,0.443620
38,0.595926,0.596129,0.066844,0.035229,0.00029918,0.004545,0.002278,0.002278,0.996201,0.134200,0.071926,0.073701,0.749189,0.042617,0.021772,0.021783,0.977464,0.086013,0.044939,0.045802,0.704748
39,0.595474,0.596068,0.068317,0.035869,0.00029816,0.004537,0.002274,0.002274,0.996834,0.057767,0.029742,0.029789,0.949618,0.118908,0.063212,0.063549,0.922727,0.092055,0.048248,0.049281,0.697082
40,0.595158,0.595258,0.078435,0.041350,0.00029673,0.004538,0.002274,0.002274,0.999578,0.086409,0.045155,0.045320,0.925637,0.113774,0.060318,0.060579,0.933348,0.109020,0.057653,0.059177,0.691147
41,0.594340,0.594289,0.081308,0.043025,0.00029491,0.004548,0.002279,0.002279,0.995568,0.105327,0.055591,0.055872,0.916946,0.134470,0.072081,0.072403,0.942003,0.080887,0.042148,0.042839,0.723294
42,0.593234,0.592917,0.121090,0.066671,0.00029268,0.004540,0.002275,0.002275,0.998523,0.153389,0.083065,0.084220,0.858259,0.238074,0.135121,0.136949,0.910082,0.088359,0.046221,0.048468,0.499258
43,0.593754,0.592852,0.112979,0.062048,0.00029007,0.004545,0.002278,0.002278,0.997045,0.141370,0.076061,0.077894,0.763709,0.234064,0.132544,0.134444,0.903619,0.071937,0.037311,0.038086,0.646884
44,0.591818,0.591838,0.136650,0.077166,0.00028708,0.004533,0.002271,0.002271,0.999789,0.139903,0.075213,0.076027,0.875309,0.306209,0.180783,0.185845,0.869057,0.095957,0.050396,0.054143,0.421365
45,0.591209,0.590958,0.124829,0.070056,0.00028371,0.004545,0.002278,0.002278,0.997045,0.110771,0.058633,0.058918,0.923877,0.292975,0.171629,0.175493,0.886310,0.091025,0.047683,0.049718,0.538081
46,0.590691,0.590002,0.199242,0.119920,0.00027997,0.004528,0.002269,0.002269,0.999156,0.189690,0.104783,0.107435,0.809361,0.448421,0.289009,0.321913,0.738732,0.154331,0.083618,0.091559,0.490851
47,0.589640,0.588636,0.138639,0.078606,0.00027588,0.004536,0.002273,0.002273,0.996834,0.123044,0.065555,0.066200,0.870689,0.317372,0.188617,0.194437,0.863044,0.109602,0.057978,0.059633,0.676311
48,0.589026,0.588263,0.142357,0.079550,0.00027145,0.004546,0.002278,0.002278,0.996623,0.234422,0.132774,0.141210,0.689676,0.233699,0.132310,0.133809,0.921940,0.096759,0.050839,0.052249,0.653314
49,0.588150,0.587281,0.153037,0.089449,0.00026668,0.004537,0.002274,0.002274,0.998523,0.143571,0.077337,0.078087,0.889500,0.378866,0.233704,0.243257,0.856131,0.085173,0.044481,0.047295,0.427794
50,0.586586,0.584858,0.158127,0.090768,0.00026160,0.004544,0.002277,0.002277,0.997045,0.181046,0.099533,0.101520,0.835653,0.339780,0.204660,0.210869,0.874227,0.107139,0.056602,0.058539,0.631058
51,0.584912,0.583740,0.177639,0.107604,0.00025621,0.004536,0.002273,0.002273,0.999367,0.148902,0.080440,0.081174,0.898960,0.452851,0.292700,0.312537,0.821794,0.104269,0.055002,0.059601,0.416172
52,0.585232,0.580846,0.173356,0.100573,0.00025054,0.004537,0.002274,0.002274,0.995779,0.197046,0.109290,0.111958,0.821022,0.363703,0.222272,0.231923,0.842306,0.128139,0.068456,0.071170,0.642186
53,0.582849,0.580490,0.210245,0.126172,0.00024458,0.004524,0.002267,0.002267,0.995779,0.244535,0.139300,0.146103,0.749464,0.435118,0.278051,0.300661,0.787119,0.156802,0.085071,0.091694,0.540801
54,0.580830,0.578691,0.195326,0.114058,0.00023837,0.004544,0.002277,0.002277,0.996623,0.275023,0.159436,0.170832,0.705022,0.351991,0.213585,0.219981,0.880184,0.149746,0.080933,0.086462,0.558605
55,0.579322,0.577290,0.232610,0.143377,0.00023192,0.004527,0.002269,0.002269,0.997467,0.252304,0.144364,0.153731,0.703207,0.494681,0.328622,0.368729,0.751321,0.178926,0.098253,0.112982,0.429773
56,0.581374,0.575500,0.171223,0.099652,0.00022525,0.004545,0.002278,0.002278,0.993879,0.184279,0.101491,0.103407,0.845608,0.373084,0.229320,0.238441,0.857030,0.122984,0.065521,0.068236,0.622156
57,0.579296,0.573646,0.171726,0.101246,0.00021837,0.004554,0.002282,0.002282,0.997256,0.192035,0.106216,0.108640,0.826412,0.396491,0.247264,0.256985,0.867315,0.093827,0.049223,0.052524,0.439169
58,0.576950,0.571892,0.239197,0.144568,0.00021131,0.004545,0.002278,0.002278,0.998523,0.312773,0.185377,0.203791,0.672295,0.428626,0.272772,0.295332,0.781218,0.210843,0.117845,0.130661,0.545747
59,0.575929,0.570308,0.206029,0.123220,0.00020408,0.004550,0.002280,0.002280,0.996412,0.279284,0.162307,0.173925,0.708432,0.413396,0.260554,0.273821,0.843206,0.126886,0.067740,0.071695,0.551187
60,0.577246,0.568175,0.194087,0.114311,0.00019670,0.004544,0.002277,0.002277,0.994512,0.239022,0.135732,0.140336,0.805346,0.390619,0.242714,0.253624,0.849444,0.142164,0.076521,0.080230,0.623393
61,0.571828,0.566454,0.234843,0.143329,0.00018919,0.004544,0.002277,0.002277,0.993879,0.352340,0.213842,0.238197,0.676530,0.433394,0.276646,0.293171,0.830729,0.149096,0.080553,0.086153,0.553412
62,0.571754,0.565189,0.277947,0.173730,0.00018158,0.004529,0.002270,0.002270,0.996201,0.285758,0.166696,0.175135,0.775755,0.505837,0.338542,0.383517,0.742722,0.315664,0.187412,0.250875,0.425569
63,0.571063,0.562874,0.243885,0.150020,0.00017389,0.004538,0.002274,0.002274,0.995146,0.287325,0.167764,0.178031,0.744183,0.483486,0.318814,0.348381,0.789761,0.200192,0.111230,0.124240,0.515084
64,0.568435,0.562117,0.260765,0.160747,0.00016613,0.004537,0.002274,0.002274,0.994935,0.252701,0.144624,0.150291,0.793191,0.478733,0.314694,0.342467,0.795099,0.307091,0.181398,0.233998,0.446588
65,0.568528,0.560376,0.285709,0.179520,0.00015832,0.004534,0.002272,0.002272,0.994935,0.334234,0.200649,0.218491,0.710742,0.512297,0.344355,0.385539,0.763235,0.291770,0.170802,0.212292,0.466370
66,0.564249,0.558741,0.304731,0.193465,0.00015050,0.004534,0.002272,0.002272,0.995146,0.351400,0.213150,0.232195,0.722127,0.520501,0.351809,0.391620,0.775823,0.342488,0.206628,0.264512,0.485658
67,0.561583,0.558921,0.299096,0.189444,0.00014268,0.004537,0.002274,0.002274,0.994512,0.361671,0.220756,0.240414,0.729718,0.519243,0.350660,0.392086,0.768461,0.310935,0.184087,0.228778,0.485163
