epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.618771,0.615256,0.005070,0.002544,0.00010000,0.000889,0.000445,0.000445,1.000000,0.007664,0.003847,0.003847,0.999911,0.008930,0.004485,0.004485,1.000000,0.002796,0.001400,0.001400,1.000000
2,0.614554,0.614111,0.005069,0.002544,0.00002008,0.000889,0.000445,0.000445,1.000000,0.007658,0.003844,0.003844,0.999926,0.008933,0.004486,0.004486,1.000000,0.002797,0.001400,0.001400,1.000000
3,0.613331,0.612623,0.005068,0.002543,0.00004006,0.000889,0.000445,0.000445,1.000000,0.007650,0.003840,0.003840,1.000000,0.008934,0.004487,0.004487,1.000000,0.002797,0.001401,0.001401,1.000000
4,0.611579,0.610424,0.005066,0.002542,0.00006004,0.000889,0.000445,0.000445,1.000000,0.007653,0.003841,0.003841,1.000000,0.008927,0.004483,0.004483,1.000000,0.002797,0.001400,0.001400,1.000000
5,0.609160,0.607818,0.005068,0.002543,0.00008002,0.000889,0.000445,0.000445,1.000000,0.007661,0.003845,0.003845,0.999763,0.008925,0.004483,0.004483,1.000000,0.002799,0.001401,0.001401,1.000000
6,0.606675,0.604980,0.005075,0.002547,0.00010000,0.000889,0.000445,0.000445,1.000000,0.007676,0.003853,0.003853,0.999881,0.008933,0.004487,0.004487,1.000000,0.002802,0.001403,0.001403,1.000000
7,0.604560,0.602607,0.005072,0.002545,0.00009998,0.000889,0.000445,0.000445,1.000000,0.007677,0.003853,0.003853,0.999228,0.008925,0.004482,0.004482,1.000000,0.002798,0.001401,0.001401,1.000000
8,0.602885,0.601194,0.005076,0.002547,0.00009990,0.000891,0.000445,0.000445,0.999047,0.007684,0.003857,0.003857,0.997729,0.008926,0.004483,0.004483,1.000000,0.002802,0.001403,0.001403,1.000000
9,0.601484,0.599876,0.005191,0.002605,0.00009978,0.000890,0.000445,0.000445,0.999809,0.007681,0.003855,0.003855,0.999718,0.008926,0.004483,0.004483,1.000000,0.003267,0.001636,0.001636,0.973095
10,0.600384,0.598713,0.005812,0.002917,0.00009961,0.000890,0.000445,0.000445,0.999809,0.007671,0.003850,0.003850,0.998709,0.008921,0.004481,0.004481,1.000000,0.005767,0.002892,0.002892,0.929298
11,0.599343,0.597761,0.009041,0.004550,0.00009939,0.000890,0.000445,0.000445,0.999905,0.007676,0.003853,0.003853,0.998664,0.010757,0.005408,0.005408,0.999662,0.016843,0.008493,0.008511,0.797623
12,0.598245,0.596704,0.011004,0.005546,0.00009912,0.000891,0.000446,0.000446,0.998189,0.007628,0.003828,0.003829,0.987994,0.020539,0.010376,0.010389,0.896141,0.014959,0.007536,0.007544,0.867104
13,0.597297,0.594935,0.044074,0.023097,0.00009880,0.000893,0.000447,0.000447,0.997808,0.007671,0.003850,0.003850,0.990339,0.115092,0.061060,0.061331,0.932553,0.052641,0.027032,0.027095,0.920425
14,0.595239,0.590874,0.096152,0.053450,0.00009843,0.000890,0.000445,0.000445,0.999905,0.011691,0.005880,0.005881,0.976730,0.245665,0.140033,0.147166,0.742888,0.126363,0.067443,0.068585,0.801978
15,0.592899,0.590260,0.052787,0.027893,0.00009802,0.000890,0.000445,0.000445,0.999809,0.012370,0.006224,0.006224,0.986673,0.136225,0.073091,0.074325,0.814884,0.061662,0.031812,0.031997,0.846101
16,0.590869,0.584551,0.047778,0.025174,0.00009756,0.000891,0.000446,0.000446,0.999619,0.015828,0.007977,0.007979,0.973273,0.131141,0.070172,0.071124,0.839808,0.043251,0.022103,0.022211,0.820254
17,0.589357,0.577149,0.155390,0.092571,0.00009705,0.000891,0.000445,0.000445,0.999905,0.041167,0.021016,0.021075,0.881841,0.401247,0.250975,0.291102,0.645479,0.178256,0.097849,0.103826,0.629599
18,0.588217,0.585531,0.087090,0.048040,0.00009649,0.000892,0.000446,0.000446,0.999428,0.024772,0.012541,0.012550,0.946070,0.236760,0.134275,0.137501,0.851273,0.085939,0.044899,0.045171,0.881635
19,0.584233,0.575882,0.179979,0.108205,0.00009589,0.000890,0.000445,0.000445,0.999905,0.089582,0.046891,0.047235,0.865665,0.434196,0.277299,0.331260,0.629944,0.195248,0.108185,0.114893,0.649503
20,0.579916,0.568944,0.139631,0.082241,0.00009525,0.000992,0.000496,0.000496,0.996092,0.032121,0.016323,0.016342,0.933308,0.375303,0.230999,0.254781,0.712203,0.150108,0.081144,0.083511,0.741127
21,0.578349,0.569291,0.177325,0.106052,0.00009456,0.000890,0.000445,0.000445,0.999905,0.118258,0.062845,0.063764,0.813502,0.429936,0.273834,0.319414,0.657410,0.160216,0.087084,0.092746,0.587879
22,0.573450,0.564076,0.193255,0.121528,0.00009382,0.000909,0.000455,0.000455,0.998284,0.045032,0.023035,0.023069,0.940401,0.504695,0.337519,0.495654,0.514071,0.222382,0.125101,0.145531,0.471223
23,0.570257,0.560821,0.185828,0.112853,0.00009304,0.001037,0.000519,0.000519,0.975598,0.091510,0.047949,0.048194,0.904235,0.454736,0.294277,0.346452,0.661481,0.196031,0.108666,0.114481,0.681456
24,0.566451,0.556956,0.206359,0.128258,0.00009222,0.001293,0.000647,0.000647,0.950529,0.098351,0.051719,0.051973,0.913600,0.500272,0.333575,0.418006,0.622853,0.225522,0.127092,0.137011,0.637089
25,0.563037,0.553503,0.225447,0.137987,0.00009136,0.001724,0.000863,0.000863,0.886093,0.170737,0.093336,0.094765,0.860931,0.477833,0.313917,0.423283,0.548524,0.251495,0.143834,0.156891,0.633466
26,0.558908,0.549451,0.216829,0.133775,0.00009046,0.002457,0.001230,0.001230,0.811171,0.144071,0.077627,0.078679,0.853096,0.495321,0.329187,0.411281,0.622526,0.225468,0.127058,0.137488,0.626140
27,0.555916,0.552080,0.217477,0.132039,0.00008952,0.002637,0.001320,0.001321,0.793251,0.182613,0.100481,0.102494,0.836504,0.465194,0.303096,0.351261,0.688515,0.219464,0.123257,0.127557,0.785249
28,0.552913,0.545768,0.253893,0.159678,0.00008854,0.004247,0.002128,0.002130,0.744066,0.214488,0.120127,0.123075,0.833714,0.537309,0.367343,0.468259,0.630247,0.259528,0.149114,0.160404,0.679339
