epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
1,0.619063,0.615452,0.010594,0.005335,0.00030000,0.004508,0.002259,0.002259,1.000000,0.017190,0.008669,0.008669,1.000000,0.016827,0.008485,0.008485,1.000000,0.003849,0.001928,0.001928,1.000000
2,0.615210,0.615246,0.010678,0.005378,0.00006080,0.004508,0.002259,0.002259,1.000000,0.017190,0.008670,0.008670,1.000000,0.016827,0.008485,0.008485,1.000000,0.004188,0.002098,0.002098,0.981207
3,0.614316,0.614370,0.010810,0.005444,0.00012060,0.004508,0.002259,0.002259,1.000000,0.017193,0.008671,0.008671,1.000000,0.016829,0.008486,0.008486,1.000000,0.004708,0.002359,0.002360,0.850148
4,0.613490,0.613872,0.011178,0.005629,0.00018040,0.004511,0.002260,0.002260,1.000000,0.017198,0.008674,0.008674,1.000000,0.016842,0.008493,0.008493,1.000000,0.006159,0.003089,0.003094,0.649357
5,0.612104,0.613451,0.011814,0.005950,0.00024020,0.004514,0.002262,0.002262,1.000000,0.017245,0.008697,0.008697,1.000000,0.016887,0.008515,0.008515,1.000000,0.008610,0.004324,0.004336,0.613501
6,0.610918,0.612124,0.011612,0.005848,0.00030000,0.004509,0.002260,0.002260,1.000000,0.017358,0.008755,0.008755,0.998185,0.016835,0.008489,0.008489,1.000000,0.007744,0.003887,0.003888,0.937438
7,0.609342,0.610312,0.012429,0.006260,0.00029918,0.004509,0.002260,0.002260,1.000000,0.017569,0.008862,0.008865,0.961278,0.016827,0.008485,0.008485,1.000000,0.010811,0.005435,0.005439,0.881306
8,0.608841,0.609332,0.013541,0.006824,0.00029673,0.004508,0.002259,0.002259,1.000000,0.017538,0.008847,0.008848,0.987404,0.016827,0.008485,0.008485,1.000000,0.015289,0.007703,0.007726,0.725272
9,0.607353,0.608033,0.013941,0.007027,0.00029268,0.004511,0.002261,0.002261,1.000000,0.017258,0.008704,0.008707,0.960728,0.016827,0.008485,0.008485,1.000000,0.017168,0.008658,0.008688,0.717112
10,0.607003,0.606738,0.018796,0.009521,0.00028708,0.004510,0.002260,0.002260,1.000000,0.017491,0.008823,0.008823,0.990210,0.016827,0.008485,0.008485,1.000000,0.036357,0.018515,0.018746,0.601137
11,0.605599,0.606462,0.021137,0.010740,0.00027997,0.004514,0.002262,0.002262,1.000000,0.017514,0.008835,0.008836,0.975964,0.016827,0.008485,0.008485,1.000000,0.045691,0.023379,0.023624,0.692878
12,0.604728,0.605025,0.023212,0.011832,0.00027145,0.004511,0.002261,0.002261,1.000000,0.017492,0.008823,0.008825,0.980419,0.016827,0.008485,0.008485,1.000000,0.054018,0.027759,0.028371,0.562562
13,0.604184,0.605406,0.017563,0.008883,0.00026160,0.004521,0.002266,0.002266,0.997678,0.017487,0.008821,0.008827,0.926077,0.016827,0.008485,0.008485,1.000000,0.031418,0.015960,0.016040,0.761622
14,0.603718,0.604432,0.021493,0.010927,0.00025054,0.004517,0.002264,0.002264,0.998523,0.017683,0.008921,0.008923,0.967164,0.016827,0.008485,0.008485,1.000000,0.046946,0.024037,0.024342,0.657517
15,0.603060,0.604048,0.025997,0.013304,0.00023837,0.004517,0.002263,0.002263,1.000000,0.018568,0.009371,0.009374,0.973214,0.016827,0.008485,0.008485,1.000000,0.064075,0.033098,0.034049,0.542285
16,0.602499,0.604654,0.026920,0.013800,0.00022525,0.004522,0.002266,0.002266,1.000000,0.018323,0.009246,0.009247,0.989990,0.016827,0.008485,0.008485,1.000000,0.068009,0.035202,0.036093,0.587784
17,0.602253,0.602984,0.025404,0.012976,0.00021131,0.004528,0.002269,0.002269,0.998523,0.020835,0.010527,0.010529,0.978549,0.016827,0.008485,0.008485,1.000000,0.059427,0.030623,0.031531,0.515579
18,0.601796,0.601659,0.033118,0.017075,0.00019670,0.004520,0.002265,0.002265,0.999789,0.028201,0.014302,0.014322,0.912106,0.017054,0.008600,0.008600,0.999269,0.082695,0.043131,0.044974,0.512859
19,0.600727,0.601862,0.030263,0.015519,0.00018158,0.004533,0.002272,0.002272,0.997678,0.030460,0.015465,0.015506,0.854408,0.016898,0.008521,0.008521,1.000000,0.069160,0.035819,0.036236,0.756677
20,0.600404,0.601815,0.036103,0.018698,0.00016613,0.004518,0.002264,0.002264,0.999789,0.028793,0.014607,0.014642,0.859634,0.017623,0.008890,0.008890,0.998988,0.093480,0.049032,0.052024,0.460188
21,0.599743,0.600388,0.039320,0.020332,0.00015050,0.004525,0.002268,0.002268,0.999578,0.043778,0.022379,0.022523,0.777240,0.019484,0.009838,0.009838,0.994605,0.089492,0.046842,0.048375,0.596439
