epoch,train_loss,train_acc,train_qwk,train_f1,val_loss,val_acc,val_qwk,val_f1,lr
1,1.320578,0.3227,0.3783,0.2919,1.190819,0.5000,0.7511,0.3635,0.00010000
2,1.046952,0.4713,0.6173,0.4267,1.018544,0.5984,0.7937,0.4605,0.00010000
3,0.940574,0.5441,0.6797,0.5031,1.023642,0.5956,0.8126,0.4613,0.00010000
